fold,n_estimators,max_depth,max_features,k,l,accuracy,f1_weighted,roc_auc_ovr,train_accuracy,train_f1_weighted,train_roc_auc_ovr
5_5_3,50,,sqrt,,,0.875,0.8681818181818182,0.9625,1.0,1.0,1.0
5_5_4,50,,sqrt,,,0.6875,0.6875,0.8755681818181817,1.0,1.0,1.0
5_5_5,50,,sqrt,,,0.6875,0.6651785714285714,0.8119318181818183,1.0,1.0,1.0
5_6_1,100,,sqrt,,,0.8125,0.8092948717948718,0.9247159090909091,1.0,1.0,1.0
5_6_2,100,,sqrt,,,0.75,0.7366071428571428,0.7994318181818181,1.0,1.0,1.0
5_6_3,100,,sqrt,,,0.875,0.8681818181818182,0.96875,1.0,1.0,1.0
5_6_4,100,,sqrt,,,0.75,0.75,0.8704545454545454,1.0,1.0,1.0
5_6_5,100,,sqrt,,,0.75,0.7380952380952379,0.802840909090909,1.0,1.0,1.0
5_7_1,50,10.0,sqrt,,,0.8125,0.8092948717948718,0.9127840909090909,1.0,1.0,1.0
5_7_2,50,10.0,sqrt,,,0.75,0.7366071428571428,0.8139204545454546,1.0,1.0,1.0
5_7_3,50,10.0,sqrt,,,0.875,0.8681818181818182,0.965625,1.0,1.0,1.0
5_7_4,50,10.0,sqrt,,,0.6875,0.6875,0.8755681818181817,1.0,1.0,1.0
5_7_5,50,10.0,sqrt,,,0.6875,0.6651785714285714,0.8119318181818183,1.0,1.0,1.0
5_8_1,100,10.0,sqrt,,,0.8125,0.8092948717948718,0.9278409090909091,1.0,1.0,1.0
5_8_2,100,10.0,sqrt,,,0.75,0.7366071428571428,0.7994318181818181,1.0,1.0,1.0
5_8_3,100,10.0,sqrt,,,0.875,0.8681818181818182,0.96875,1.0,1.0,1.0
5_8_4,100,10.0,sqrt,,,0.75,0.75,0.8704545454545454,1.0,1.0,1.0
5_8_5,100,10.0,sqrt,,,0.75,0.7380952380952379,0.802840909090909,1.0,1.0,1.0
5_9_1,50,,sqrt,,,0.6875,0.6517857142857143,0.8448863636363637,0.71875,0.6969866071428572,0.8586474501108647
5_9_2,50,,sqrt,,,0.625,0.6049107142857143,0.7971590909090909,0.734375,0.7096283272837266,0.8704268292682926
5_9_3,50,,sqrt,,,0.75,0.6979166666666666,0.86875,0.703125,0.6843200146627566,0.8520215493348114
5_9_4,50,,sqrt,,,0.6875,0.5772058823529411,0.7613636363636364,0.6875,0.5785984848484849,0.8468680709534367
5_9_5,50,,sqrt,,,0.625,0.609375,0.8295454545454546,0.734375,0.708759497369959,0.8601740056818181
5_10_1,100,,sqrt,,,0.6875,0.6517857142857143,0.8448863636363637,0.71875,0.6969866071428572,0.8586474501108647
5_10_2,100,,sqrt,,,0.625,0.6049107142857143,0.7971590909090909,0.734375,0.7096283272837266,0.8704268292682926
5_10_3,100,,sqrt,,,0.75,0.6979166666666666,0.86875,0.703125,0.6843200146627566,0.8520215493348114
5_10_4,100,,sqrt,,,0.5,0.4916666666666667,0.7613636363636364,0.6875,0.6844429347826086,0.8468680709534367
5_10_5,100,,sqrt,,,0.625,0.609375,0.8295454545454546,0.734375,0.708759497369959,0.8601740056818181
5_11_1,50,10.0,sqrt,,,0.6875,0.6517857142857143,0.8448863636363637,0.71875,0.6969866071428572,0.8586474501108647
5_11_2,50,10.0,sqrt,,,0.625,0.6049107142857143,0.7971590909090909,0.734375,0.7096283272837266,0.8704268292682926
5_11_3,50,10.0,sqrt,,,0.75,0.6979166666666666,0.86875,0.703125,0.6843200146627566,0.8520215493348114
5_11_4,50,10.0,sqrt,,,0.6875,0.5772058823529411,0.7613636363636364,0.6875,0.5785984848484849,0.8468680709534367
5_11_5,50,10.0,sqrt,,,0.625,0.609375,0.8295454545454546,0.734375,0.708759497369959,0.8601740056818181
5_12_1,100,10.0,sqrt,,,0.6875,0.6517857142857143,0.8448863636363637,0.71875,0.6969866071428572,0.8586474501108647
5_12_2,100,10.0,sqrt,,,0.625,0.6049107142857143,0.7971590909090909,0.734375,0.7096283272837266,0.8704268292682926
5_12_3,100,10.0,sqrt,,,0.75,0.6979166666666666,0.86875,0.703125,0.6843200146627566,0.8520215493348114
5_12_4,100,10.0,sqrt,,,0.5,0.4916666666666667,0.7613636363636364,0.6875,0.6844429347826086,0.8468680709534367
5_12_5,100,10.0,sqrt,,,0.625,0.609375,0.8295454545454546,0.734375,0.708759497369959,0.8601740056818181
